name,raw,source_report
7CTOs,"7CTOs | [7ctos.com](https://7ctos.com) | [Yes](https://7ctos.com/blog/the-ctos-the-ctos-consulting-rate-calculator/) | Provides a proprietary rate calculator; example output ~$15,000/mo19.",gemini-discovery
UniCrew,"UniCrew | [unicrew.com](https://unicrew.com) | [Yes](https://unicrew.com/blog/fractional-cto-vs-in-house-cto/) | Identifies typical retainers of $10,000/mo23.",gemini-discovery
HighCircl,HighCircl | [highcircl.com](https://www.highcircl.com) | [Yes](https://www.highcircl.com/en/blog/what-is-a-fractional-cto) | Documents scale-up European rates24.,gemini-discovery
GoFractional,GoFractional | [gofractional.com](https://www.gofractional.com) | [Yes](https://www.gofractional.com/insights/rates/cto) | Curated network; 20% margin on compensation16.,gemini-discovery
CTOx,"CTOx | [fractionaljobs.io](https://www.fractionaljobs.io) | [Yes](https://www.fractionaljobs.io/blog/the-5-best-fractional-cto-platforms-and-services-2026) | $8,000 - $20,000/mo (via review metrics)15.",gemini-discovery
Toptal,Toptal | [toptal.com](https://www.toptal.com) | [Yes](https://hypernestlabs.com/insights/best-fractional-cto-services-2026) | Marketplace structure; $200+/hr15.,gemini-discovery
Arc.dev,Arc.dev | [arc.dev](https://arc.dev) | [Yes](https://hypernestlabs.com/insights/best-fractional-cto-services-2026) | Freelance developer platform; $100 - $200/hr15.,gemini-discovery
Upwork,Upwork | [upwork.com](https://upwork.com) | [Yes](https://hypernestlabs.com/insights/best-fractional-cto-services-2026) | Open marketplace; $75 - $250+/hr15.,gemini-discovery
Braintrust,Braintrust | [usebraintrust.com](https://usebraintrust.com) | [Yes](https://hypernestlabs.com/insights/best-fractional-cto-services-2026) | User-set rates plus 10-15% client network fee15.,gemini-discovery
Fulcrum Solutions,"Fulcrum Solutions | [clutch.co](https://clutch.co/profile/fulcrum-solutions) | [Yes](https://clutch.co/profile/fulcrum-solutions) | $25 - $49/hr (minimum project size $25,000)29.",gemini-discovery
Red Corner CTO Service,"Red Corner CTO Service | [clutch.co](https://clutch.co/profile/red-corner-cto-service) | [Yes](https://clutch.co/profile/red-corner-cto-service) | $300+/hr (Technology strategy from $3,000/mo)30.",gemini-discovery
Delta Systems,"Delta Systems | [clutch.co](https://clutch.co/go-to-review/delta-systems/172294) | [Yes](https://clutch.co/go-to-review/delta-systems/172294) | $200 - $300/hr (minimum project size $25,000)31.",gemini-discovery
Icalia Labs,Icalia Labs | [clutch.co](https://clutch.co/profile/icalia-labs) | [Yes](https://clutch.co/profile/icalia-labs) | $50 - $99/hr32.,gemini-discovery
TalentAI Labs,TalentAI Labs | [clutch.co](https://clutch.co/profile/talentai-labs) | [Yes](https://clutch.co/profile/talentai-labs) | AI and blockchain specific; $100 - $149/hr33.,gemini-discovery
Kompella Technologies,Kompella Technologies | [clutch.co](https://clutch.co/profile/kompella-technologies) | [Yes](https://clutch.co/profile/kompella-technologies) | $100 - $149/hr34.,gemini-discovery
NuBinary,NuBinary | [clutch.co](https://clutch.co/profile/nubinary) | [Yes](https://clutch.co/profile/nubinary) | $100 - $149/hr35.,gemini-discovery
Prof. Timothy E. Bates,Prof. Timothy E. Bates | [clutch.co](https://clutch.co/profile/godfather-tech-professor-timothy-e-bates) | [Yes](https://clutch.co/profile/godfather-tech-professor-timothy-e-bates) | $300+/hr36.,gemini-discovery
Gun.io,Gun.io | [gun.io](https://uxcontinuum.com/blog/startup-cto/fractional-cto-services-compared-2026) | [Yes](https://uxcontinuum.com/blog/startup-cto/fractional-cto-services-compared-2026) | Marketplace tier pricing37.,gemini-discovery
A.Team,A.Team | [a.team](https://uxcontinuum.com/blog/startup-cto/fractional-cto-services-compared-2026) | [Yes](https://uxcontinuum.com/blog/startup-cto/fractional-cto-services-compared-2026) | Team assembly marketplace; $150 - $300+/hr37.,gemini-discovery
TechCXO,TechCXO | [techcxo.com](https://techcxo.com) | No | Premium retainers for enterprise/PE15.,gemini-discovery
Lee Goldsworthy,Lee Goldsworthy | [ctodirectory.com](https://ctodirectory.com/) | No | Independent practitioner in Australia38.,gemini-discovery
Indigo Labs Limited,Indigo Labs Limited | [ctodirectory.com](https://ctodirectory.com/) | No | Firm operated by Alfonso Ferrandez38.,gemini-discovery
Andrew Hutchinson,Andrew Hutchinson | [ctodirectory.com](https://ctodirectory.com/) | No | Independent practitioner in the UK38.,gemini-discovery
Andrew Smith,Andrew Smith | [ctodirectory.com](https://ctodirectory.com/) | No | Independent practitioner in Australia38.,gemini-discovery
Andrew Turpin,Andrew Turpin | [ctodirectory.com](https://ctodirectory.com/) | No | Independent practitioner in South Africa38.,gemini-discovery
Norvec Ltd,Norvec Ltd | [ctodirectory.com](https://ctodirectory.com/) | No | Firm operated by Andy Hobbs38.,gemini-discovery
FusionCTO,FusionCTO | [ctodirectory.com](https://ctodirectory.com/) | No | Firm operated by Andy Montgomery38.,gemini-discovery
Technotherapy Ltd,Technotherapy Ltd | [ctodirectory.com](https://ctodirectory.com/) | No | Firm operated by Ben Sears38.,gemini-discovery
Infloso AI,Infloso AI | [ctodirectory.com](https://ctodirectory.com/) | No | Led by Bharat Kishnani in India38.,gemini-discovery
Mahmoud Kamal,Mahmoud Kamal | [findyourcto.com](https://findyourcto.com/directory) | No | Independent practitioner based in Spain39.,gemini-discovery
Geniotek,Geniotek | [clutch.co](https://clutch.co/profile/geniotek) | No | Hardware-focused fractional CTOs; rates undisclosed40.,gemini-discovery
Swarmia Partners,Swarmia Partners | [swarmia.com](https://www.swarmia.com/solution-partners/) | No | Ecosystem and directory of fractional CTOs41.,gemini-discovery
M&A Operating System,M&A Operating System | [maoperatingsystem.com](https://www.maoperatingsystem.com/partners) | No | Boutique advisory firm42.,gemini-discovery
TrustBolt.AI,TrustBolt.AI | [trustbolt.ai](https://www.maoperatingsystem.com/partners) | No | Embedded tech and AI advisory42.,gemini-discovery
InnovusX,InnovusX | [innovusx.com](https://www.maoperatingsystem.com/partners) | No | Focuses specifically on Fractional Chief AI Officer services42.,gemini-discovery
Spencer Stuart,"Spencer Stuart | [spencerstuart.com](https://fractional.quest/top-fractional-executive-search-firms) | No | Traditional executive search, high opacity pricing28.",gemini-discovery
Odgers Interim,"Odgers Interim | [odgersinterim.com](https://fractional.quest/top-fractional-executive-search-firms) | No | Interim management focus, high opacity pricing28.",gemini-discovery
CFO Advisors,"CFO Advisors | [cfoadvisors.com](https://cfoadvisors.com) | [Yes](https://cfoadvisors.com/blog/fractional-cfo-pricing-2025_-how-much-seed-stage-saas-startups-should-budget-in-the-u_s_) | $150 - $500/hr; $60,000 - $120,000/annually based on intensity9.",gemini-discovery
CFO Recruit,CFO Recruit | [cfo-recruit.com](https://cfo-recruit.com) | [Yes](https://cfo-recruit.com/fractional-cfo-rates/) | $150 - $350/hr depending on strategic vs operational needs48.,gemini-discovery
Anders CPA,"Anders CPA | [anderscpa.com](https://anderscpa.com) | [Yes](https://anderscpa.com/learn/blog/cfo-cost/) | $78,000/year average cost for Virtual CFO services49.",gemini-discovery
Fiscal Lion,"Fiscal Lion | [fiscallion.io](https://www.fiscallion.io) | [Yes](https://www.fiscallion.io/blog/fractional-cfo-cost-the-complete-pricing-guide-for-startup-founders) | $3,000 - $15,000/mo; scales up to $20,000+ for enterprise46.",gemini-discovery
Bette Hochberger,"Bette Hochberger | [bettehochberger.com](https://bettehochberger.com) | [Yes](https://bettehochberger.com/quickies/how-much-does-a-fractional-cfo-cost-8240/) | $175 - $450/hr; $3,000 - $10,000/mo retainers10.",gemini-discovery
My CFO Insights,My CFO Insights | [mycfoinsights.com](https://mycfoinsights.com) | [Yes](https://mycfoinsights.com/fractional-cfo-hourly-rates-explained/) | General range of $150 - $500/hr45.,gemini-discovery
GetExact,"GetExact | [getexact.com](https://getexact.com) | [Yes](https://getexact.com/top-industries-thrive-fractional-cfo-services/) | $3,000 - $10,000/mo for 8-25 hours per month50.",gemini-discovery
Convoy Finance,Convoy Finance | [convoyfinance.com](https://www.convoyfinance.com) | [Yes](https://www.convoyfinance.com/resources/how-much-does-a-fractional-cfo-cost) | Rate data and guide confirmed as published on-site51.,gemini-discovery
Tee Up Advisors,"Tee Up Advisors | [teeupnextgen.com](https://www.teeupnextgen.com) | [Yes](https://www.teeupnextgen.com/pricing) | Retainer models: Consultant (quarterly), Coach (monthly), Partner (weekly)52.",gemini-discovery
The Noble CFO,The Noble CFO | [thenoblecfo.com](https://thenoblecfo.com) | [Yes](https://thenoblecfo.com/packages) | Training and placement network packages published53.,gemini-discovery
Egort & Partners,"Egort & Partners (EPFS LLC) | [epfsllc.com](https://www.epfsllc.com) | [Yes](https://www.epfsllc.com/pricing) | $2,499/mo (Essential); $7,499/mo (Strategic); $14,999/mo (Enterprise)54.",gemini-discovery
CFO Expertise,"CFO Expertise | [cfoexpertise.com](https://cfoexpertise.com) | [Yes](https://cfoexpertise.com/pricing/) | $2,500/mo (Essential); $5,000/mo (Growth); $10,000/mo (Enterprise)55.",gemini-discovery
AutoCFO,"AutoCFO | [autocfo.com](https://autocfo.com) | [Yes](https://autocfo.com/pricing/) | $3,250/mo (Growth); $5,000/mo (Extra support); standalone software $199/mo56.",gemini-discovery
Thrive Digits,Thrive Digits | [thrivedigits.com](https://www.thrivedigits.com) | [Yes](https://www.thrivedigits.com/pricing/) | CFO packages starting from €797/mo57.,gemini-discovery
McCracken Alliance,"McCracken Alliance | [mccrackenalliance.com](https://www.mccrackenalliance.com) | [Yes](https://www.mccrackenalliance.com/blog/fractional-cfo-cost) | $175 - $350/hr; leading to $5,000 - $12,000/mo retainers58.",gemini-discovery
Torq Partners,"Torq Partners | [torq.partners](https://www.torq.partners) | [Yes](https://www.torq.partners/en/resources/finance-blog/fractional-cfo-aufgaben-kosten-und-der-richtige-vergleich-fur-dein-startup) | €150 - €220/hr; typically €1,500 - €4,400/mo59.",gemini-discovery
Iter Advisors,"Iter Advisors | [iteradvisors.com](https://www.iteradvisors.com) | [Yes](https://www.iteradvisors.com/en/ressources/blog/cout-daf-externalise-tarifs-prix-2026) | €750 - €1,250/day; €2,000 - €7,000+/mo packages44.",gemini-discovery
Business CFO For Hire,"Business CFO For Hire | [businesscfoforhire.com](https://businesscfoforhire.com) | [Yes](https://businesscfoforhire.com/pricing/) | $1,500 - $7,500/mo across Foundation, Momentum, Ascent tiers61.",gemini-discovery
ExecFractional CFOs,"ExecFractional CFOs | [execfractional.com](https://execfractional.com/) | [Yes](https://execfractional.com/) | Profiles show specific hourly rates (e.g., $250 - $280/hr)27.",gemini-discovery
GoFractional CFOs,"GoFractional CFOs | [gofractional.com](https://www.gofractional.com) | [Yes](https://www.gofractional.com/blog/fractional-cfo) | Average rate $177/hr (Middle 50% between $125 - $210/hr); retainers ~$11,500 - $16,200/mo5.",gemini-discovery
Fractional C-Suite CFOs,Fractional C-Suite CFOs | [fractional-csuite.com](https://fractional-csuite.com) | [Yes](https://fractional-csuite.com/tools/rates/) | Live calculator for 11 European markets8.,gemini-discovery
Fractional CXO CFOs,"Fractional CXO CFOs | [fractionalcxo.to](https://fractionalcxo.to/fractional-cfo) | [Yes](https://fractionalcxo.to/fractional-cfo) | Directory lists retainers starting from $5,000 - $12,000/mo62.",gemini-discovery
Fractional Jobs CFOs,"Fractional Jobs CFOs | [fractionaljobs.io](https://www.fractionaljobs.io) | [Yes](https://www.fractionaljobs.io/blog/the-5-best-fractional-cto-platforms-and-services-2026) | $3,000 - $5,000 flat placement fee26.",gemini-discovery
Toptal CFOs,Toptal CFOs | [toptal.com](https://www.toptal.com) | [Yes](https://hypernestlabs.com/insights/best-fractional-cto-services-2026) | Top 3% screen; $200+/hr15.,gemini-discovery
Upwork CFOs,"Upwork CFOs | [upwork.com](https://www.upwork.com) | [Yes](https://hypernestlabs.com/insights/best-fractional-cto-services-2026) | Variable independent rates, $75 - $250+/hr15.",gemini-discovery
Braintrust CFOs,Braintrust CFOs | [usebraintrust.com](https://usebraintrust.com) | [Yes](https://hypernestlabs.com/insights/best-fractional-cto-services-2026) | Low platform fee (10-15%) added to talent rate15.,gemini-discovery
GigX CFOs,GigX CFOs | [gigx.com](https://gigx.com) | [Yes](https://www.fractionaljobs.io/blog/the-5-best-fractional-cto-platforms-and-services-2026) | Open directory structure26.,gemini-discovery
A.Team CFOs,A.Team CFOs | [a.team](https://a.team) | [Yes](https://uxcontinuum.com/blog/startup-cto/fractional-cto-services-compared-2026) | Team marketplace structure37.,gemini-discovery
Gun.io CFOs,Gun.io CFOs | [gun.io](https://gun.io) | [Yes](https://uxcontinuum.com/blog/startup-cto/fractional-cto-services-compared-2026) | Hourly/project marketplace37.,gemini-discovery
FindaFractional CFOs,FindaFractional CFOs | [findafractional.co.uk](https://www.findafractional.co.uk/businesses) | [Yes](https://www.findafractional.co.uk/businesses) | Zero recruitment fees; pay direct to executive13.,gemini-discovery
Fractional.quest CFOs,"Fractional.quest CFOs | [fractional.quest](https://fractional.quest/top-fractional-executive-search-firms) | [Yes](https://fractional.quest/top-fractional-executive-search-firms) | Typical day rates £800 - £1,50028.",gemini-discovery
Crown CFO,Crown CFO | [crowncfo.com](https://crowncfo.com) | No | Custom strategic pricing63.,gemini-discovery
A Fractional CFO,A Fractional CFO | [afractionalcfo.com](https://afractionalcfo.com) | No | Warns against hourly rates; uses custom pricing criteria64.,gemini-discovery
Valuefinex,Valuefinex | [valuefinex.com](https://valuefinex.com) | No | Tailored quoting for interim FD/SaaS CFO65.,gemini-discovery
indinero,indinero | [clutch.co](https://clutch.co/financial-services/fractional-cfo-services) | No | Unlisted rates66.,gemini-discovery
Zenbooks,Zenbooks | [clutch.co](https://clutch.co/financial-services/fractional-cfo-services) | No | Unlisted rates66.,gemini-discovery
Ravix Group,Ravix Group | [clutch.co](https://clutch.co/financial-services/fractional-cfo-services) | No | Unlisted rates66.,gemini-discovery
Appletree Business Services,Appletree Business Services | [clutch.co](https://clutch.co/financial-services/fractional-cfo-services) | No | Unlisted rates66.,gemini-discovery
CFO Pro+Analytics,CFO Pro+Analytics | [clutch.co](https://clutch.co/financial-services/fractional-cfo-services) | No | Unlisted rates66.,gemini-discovery
CFO Hub,CFO Hub | [clutch.co](https://clutch.co/financial-services/fractional-cfo-services) | No | Unlisted rates66.,gemini-discovery
MindSpace Outsourcing,MindSpace Outsourcing | [clutch.co](https://clutch.co/financial-services/fractional-cfo-services) | No | Unlisted rates66.,gemini-discovery
"solve for , llc","solve for (x), llc | [clutch.co](https://clutch.co/financial-services/fractional-cfo-services) | No | Unlisted rates66.",gemini-discovery
Accountor CPA,Accountor CPA | [clutch.co](https://clutch.co/financial-services/fractional-cfo-services) | No | Unlisted rates66.,gemini-discovery
Rise Accounting,Rise Accounting | [clutch.co](https://clutch.co/financial-services/fractional-cfo-services) | No | Unlisted rates66.,gemini-discovery
Kordis,Kordis | [clutch.co](https://clutch.co/profile/kordis) | No | Comprehensive financial solutions for startups67.,gemini-discovery
Anglade Advisory,Anglade Advisory | [clutch.co](https://clutch.co/profile/anglade-advisory) | No | Specializes in founder-led $1M-$10M brands68.,gemini-discovery
Praxis Executive Group,Praxis Executive Group | [fractionalcxo.to](https://fractionalcxo.to/fractional-cfo) | No | Listed in directory62.,gemini-discovery
Summit CFO Partners,Summit CFO Partners | [fractionalcxo.to](https://fractionalcxo.to/fractional-cfo) | No | Specializes in $2M-$50M businesses62.,gemini-discovery
TechCXO CFOs,TechCXO CFOs | [techcxo.com](https://techcxo.com) | No | Premium enterprise retainers15.,gemini-discovery
Cerius Executives CFOs,Cerius Executives CFOs | [ceriusexecutives.com](https://ceriusexecutives.com) | No | Unlisted rates26.,gemini-discovery
Bolster CFOs,Bolster CFOs | [bolster.com](https://bolster.com) | No | Curated network12.,gemini-discovery
MentorCruise CFOs,MentorCruise CFOs | [mentorcruise.com](https://mentorcruise.com) | No | Mentorship focused15.,gemini-discovery
Spencer Stuart CFOs,Spencer Stuart CFOs | [spencerstuart.com](https://spencerstuart.com) | No | Traditional retained search28.,gemini-discovery
Odgers Interim CFOs,Odgers Interim CFOs | [odgersinterim.com](https://odgersinterim.com) | No | Full-time interim focus28.,gemini-discovery
Fortium Partners CFOs,Fortium Partners CFOs | [fortiumpartners.com](https://fortiumpartners.com) | No | Executive leadership42.,gemini-discovery
Syven Global Services,Syven Global Services | [syven.com](https://syven.com) | No | Technology consulting42.,gemini-discovery
Mayple,"Mayple | [mayple.com](https://www.mayple.com) | [Yes](https://www.mayple.com/pricing/cmo-as-a-service) | $2,850/mo (CMO Mentor); $5,350/mo (CMO Manager)69.",gemini-discovery
Contineofy,"Contineofy | [contineofy.com](https://contineofy.com) | [Yes](https://contineofy.com/pricing) | Starts at $2,500; Subscriptions $3,500 - $15,000/mo74.",gemini-discovery
Dirty Mktg,"Dirty Mktg | [dirtymktg.com](https://www.dirtymktg.com) | [Yes](https://www.dirtymktg.com/pricing) | $2,000/mo (Starter); $3,500/mo (Standard); $6,500/mo (Elite)75.",gemini-discovery
Growth Ahoy,"Growth Ahoy | [growthahoy.com](https://www.growthahoy.com) | [Yes](https://www.growthahoy.com/pricing) | From €2,700/mo (1 day/week); Training €900 - €1,80070.",gemini-discovery
Brand Botany,"Brand Botany | [brandbotany.com](https://www.brandbotany.com) | [Yes](https://www.brandbotany.com/pricing) | $1,500 one-time intensive; bespoke retainers available76.",gemini-discovery
CMO Zen,"CMO Zen | [cmozen.com](https://cmozen.com) | [Yes](https://cmozen.com/how-much-fractional-cmo-cost/) | $5,000 - $10,000/mo (20-30 hrs)73.",gemini-discovery
Lindsay Angelo,"Lindsay Angelo | [lindsayangelo.com](https://lindsayangelo.com) | [Yes](https://lindsayangelo.com/thinkingcont/cost-to-hire-a-fractional-chief-marketing-officer-for-startup) | Quotes average monthly rates of $3,000 - $20,000+77.",gemini-discovery
Porter Wills,Porter Wills | [porterwills.co](https://porterwills.co) | [Yes](https://porterwills.co/thoughts/fractional-cmo-cost-uk-the-complete-pricing-guide-for-2025) | UK-based pricing guide published on blog78.,gemini-discovery
ExecFractional CMOs,"ExecFractional CMOs | [execfractional.com](https://execfractional.com/) | [Yes](https://execfractional.com/) | Profiles show specific hourly rates (e.g., Julian Thorne @ $225/hr)27.",gemini-discovery
GoFractional CMOs,"GoFractional CMOs | [gofractional.com](https://www.gofractional.com) | [Yes](https://www.gofractional.com/blog/fractional-cmo-salary) | Publishes hourly, retainer, and project rate benchmarks79.",gemini-discovery
Fractional CXO CMOs,"Fractional CXO CMOs | [fractionalcxo.to](https://fractionalcxo.to/fractional-cmo) | [Yes](https://fractionalcxo.to/fractional-cmo) | Directory aggregations note retainers from $6,000 - $15,000/mo80.",gemini-discovery
Fractional C-Suite CMOs,"Fractional C-Suite CMOs | [fractional-csuite.com](https://fractional-csuite.com) | [Yes](https://fractional-csuite.com/tools/rates/) | Continental Europe day rates cluster €1,000 - €2,200/day8.",gemini-discovery
Fractional Jobs CMOs,"Fractional Jobs CMOs | [fractionaljobs.io](https://www.fractionaljobs.io) | [Yes](https://www.fractionaljobs.io/blog/the-5-best-fractional-cto-platforms-and-services-2026) | Directory model; $3,000 - $5,000 one-time placement fee16.",gemini-discovery
Upwork CMOs,Upwork CMOs | [upwork.com](https://www.upwork.com) | [Yes](https://hypernestlabs.com/insights/best-fractional-cto-services-2026) | Variable rates based on talent ($75 - $250+/hr)15.,gemini-discovery
Toptal CMOs,Toptal CMOs | [toptal.com](https://www.toptal.com) | [Yes](https://hypernestlabs.com/insights/best-fractional-cto-services-2026) | Premium talent network ($200+/hr)15.,gemini-discovery
Braintrust CMOs,Braintrust CMOs | [usebraintrust.com](https://usebraintrust.com) | [Yes](https://hypernestlabs.com/insights/best-fractional-cto-services-2026) | Talent-set rates plus a 10-15% platform fee15.,gemini-discovery
MentorCruise CMOs,MentorCruise CMOs | [mentorcruise.com](https://mentorcruise.com) | [Yes](https://hypernestlabs.com/insights/best-fractional-cto-services-2026) | $100 - $500/mo for advisory sessions15.,gemini-discovery
GigX CMOs,GigX CMOs | [gigx.com](https://gigx.com) | [Yes](https://www.fractionaljobs.io/blog/the-5-best-fractional-cto-platforms-and-services-2026) | Free self-service directory platform26.,gemini-discovery
A.Team CMOs,A.Team CMOs | [a.team](https://a.team) | [Yes](https://uxcontinuum.com/blog/startup-cto/fractional-cto-services-compared-2026) | Team assembly ($150 - $300+/hr)37.,gemini-discovery
Gun.io CMOs,Gun.io CMOs | [gun.io](https://gun.io) | [Yes](https://uxcontinuum.com/blog/startup-cto/fractional-cto-services-compared-2026) | Hourly/project based37.,gemini-discovery
FindaFractional CMOs,FindaFractional CMOs | [findafractional.co.uk](https://www.findafractional.co.uk/businesses) | [Yes](https://www.findafractional.co.uk/businesses) | Zero recruitment fees; pay direct to executive13.,gemini-discovery
Fractional.quest CMOs,Fractional.quest CMOs | [fractional.quest](https://fractional.quest/top-fractional-executive-search-firms) | [Yes](https://fractional.quest/top-fractional-executive-search-firms) | Platform benchmarks day rates across UK28.,gemini-discovery
Echo and Reach,Echo and Reach | [echoandreach.com](https://echoandreach.com) | No | Mentions custom long-term collaboration81.,gemini-discovery
TechCXO CMOs,TechCXO CMOs | [techcxo.com](https://techcxo.com) | No | Premium executive services firm15.,gemini-discovery
Cerius Executives CMOs,Cerius Executives CMOs | [ceriusexecutives.com](https://ceriusexecutives.com) | No | Ongoing engagement structure26.,gemini-discovery
The Roster Agency CMOs,The Roster Agency CMOs | [theroster.agency](https://theroster.agency/operations) | No | Freelance creative and operations staffing agency82.,gemini-discovery
Vendux CMOs,Vendux CMOs | [vendux.org](https://vendux.org) | No | Quoted per engagement83.,gemini-discovery
Bolster CMOs,Bolster CMOs | [bolster.com](https://bolster.com) | No | Network matching platform12.,gemini-discovery
Spencer Stuart CMOs,"Spencer Stuart CMOs | [spencerstuart.com](https://spencerstuart.com) | No | Global retained search, opaque28.",gemini-discovery
Odgers Interim CMOs,Odgers Interim CMOs | [odgersinterim.com](https://odgersinterim.com) | No | Traditional interim cover28.,gemini-discovery
Fortium Partners CMOs,Fortium Partners CMOs | [fortiumpartners.com](https://fortiumpartners.com) | No | Executive placements42.,gemini-discovery
HireChore,"HireChore | [hirechore.com](https://www.hirechore.com) | [Yes](https://www.hirechore.com/startups/fractional-coo-101) | $150 - $500+/hr; $5,000 - $25,000+/mo retainers86.",gemini-discovery
Column Content,"Column Content | [columncontent.com](https://columncontent.com) | [Yes](https://columncontent.com/fractional-coo-pricing/) | $250 - $500/hr; $5,000 - $15,000/mo retainers87.",gemini-discovery
Pilot.com,"Pilot.com | [pilot.com](https://pilot.com) | [Yes](https://pilot.com/blog/what-is-a-fractional-coo) | Estimates $3,000 - $15,000/mo depending on scope85.",gemini-discovery
ScaleUp Exec,ScaleUp Exec | [scaleupexec.com](https://scaleupexec.com) | [Yes](https://scaleupexec.com/fractional-coo-rates/) | Outlines cost savings vs $40k-$150k full-time recruiting fees4.,gemini-discovery
GCE Strategic Consulting,GCE Strategic Consulting | [gcestrategicconsulting.com](https://gcestrategicconsulting.com) | [Yes](https://gcestrategicconsulting.com/blog/fractional-coo-rates) | Discusses hourly vs retainer framework strategy89.,gemini-discovery
ExecFractional COOs,"ExecFractional COOs | [execfractional.com](https://execfractional.com/) | [Yes](https://execfractional.com/) | Profiles show specific hourly rates (e.g., Sarah Jenkins @ $240/hr)27.",gemini-discovery
GoFractional COOs,GoFractional COOs | [gofractional.com](https://www.gofractional.com/blog/fractional-coo) | [Yes](https://www.gofractional.com/blog/fractional-coo) | Fixed monthly retainers and project fees available90.,gemini-discovery
Fractional C-Suite COOs,"Fractional C-Suite COOs | [fractional-csuite.com](https://fractional-csuite.com) | [Yes](https://fractional-csuite.com/coo/) | £600 - £1,500/day (£5,000 - £12,000/mo); elite rates exceed £1,500/day88.",gemini-discovery
Fractional Jobs COOs,"Fractional Jobs COOs | [fractionaljobs.io](https://www.fractionaljobs.io) | [Yes](https://www.fractionaljobs.io/blog/the-5-best-fractional-cto-platforms-and-services-2026) | Directory model; $3,000 - $5,000 one-time placement fee26.",gemini-discovery
Upwork COOs,"Upwork COOs | [upwork.com](https://www.upwork.com) | [Yes](https://hypernestlabs.com/insights/best-fractional-cto-services-2026) | Variable by operator, $75 - $250+/hr15.",gemini-discovery
Toptal COOs,Toptal COOs | [toptal.com](https://www.toptal.com) | [Yes](https://hypernestlabs.com/insights/best-fractional-cto-services-2026) | Premium talent typically $200+/hr15.,gemini-discovery
Braintrust COOs,Braintrust COOs | [usebraintrust.com](https://usebraintrust.com) | [Yes](https://hypernestlabs.com/insights/best-fractional-cto-services-2026) | Exec rates plus a 10-15% platform fee15.,gemini-discovery
MentorCruise COOs,MentorCruise COOs | [mentorcruise.com](https://mentorcruise.com) | [Yes](https://hypernestlabs.com/insights/best-fractional-cto-services-2026) | $100 - $500/mo for advisory blocks15.,gemini-discovery
GigX COOs,GigX COOs | [gigx.com](https://gigx.com) | [Yes](https://www.fractionaljobs.io/blog/the-5-best-fractional-cto-platforms-and-services-2026) | Free self-service directory26.,gemini-discovery
A.Team COOs,A.Team COOs | [a.team](https://a.team) | [Yes](https://uxcontinuum.com/blog/startup-cto/fractional-cto-services-compared-2026) | Hourly structures available via marketplace37.,gemini-discovery
Gun.io COOs,Gun.io COOs | [gun.io](https://gun.io) | [Yes](https://uxcontinuum.com/blog/startup-cto/fractional-cto-services-compared-2026) | Project structures available37.,gemini-discovery
FindaFractional COOs,FindaFractional COOs | [findafractional.co.uk](https://www.findafractional.co.uk/businesses) | [Yes](https://www.findafractional.co.uk/businesses) | 0% recruitment fee; direct executive negotiation13.,gemini-discovery
Fractional.quest COOs,Fractional.quest COOs | [fractional.quest](https://fractional.quest) | [Yes](https://fractional.quest/top-fractional-executive-search-firms) | Platform benchmarks day rates across UK28.,gemini-discovery
VChiefs,VChiefs | [vchiefs.com](https://vchiefs.com) | No | Operates on flexible month-to-month retainers91.,gemini-discovery
The Roster Agency COOs,The Roster Agency COOs | [theroster.agency](https://theroster.agency/operations) | No | Creative and operations talent placement82.,gemini-discovery
TechCXO COOs,TechCXO COOs | [techcxo.com](https://techcxo.com) | No | Premium partner-level retainers15.,gemini-discovery
Cerius Executives COOs,Cerius Executives COOs | [ceriusexecutives.com](https://ceriusexecutives.com) | No | Proprietary engagement fees26.,gemini-discovery
Vendux COOs,Vendux COOs | [vendux.org](https://vendux.org) | No | Network placement fees83.,gemini-discovery
Bolster COOs,Bolster COOs | [bolster.com](https://bolster.com) | No | Curated executive network12.,gemini-discovery
Spencer Stuart COOs,"Spencer Stuart COOs | [spencerstuart.com](https://spencerstuart.com) | No | Big five search firm, opaque fees28.",gemini-discovery
Odgers Interim COOs,Odgers Interim COOs | [odgersinterim.com](https://odgersinterim.com) | No | Full-time interim focus28.,gemini-discovery
Fortium Partners COOs,Fortium Partners COOs | [fortiumpartners.com](https://fortiumpartners.com) | No | Technology and operational leadership firm42.,gemini-discovery
Account Makers,Account Makers | [accountmakers.com](https://accountmakers.com) | [Yes](https://accountmakers.com/blog/fractional-cro-vs-full-time-cro/) | Analyzes fractional vs full-time CRO costs directly94.,gemini-discovery
GoFractional CROs,GoFractional CROs | [gofractional.com](https://www.gofractional.com/) | [Yes](https://www.gofractional.com/) | Hourly frameworks and monthly retainers supported (average benchmarked around $125-$210/hr)5.,gemini-discovery
ExecFractional CROs,ExecFractional CROs | [execfractional.com](https://execfractional.com/) | [Yes](https://execfractional.com/) | Rates displayed openly on executive profiles27.,gemini-discovery
Fractional-CSuite CROs,Fractional-CSuite CROs | [fractional-csuite.com](https://fractional-csuite.com) | [Yes](https://fractional-csuite.com/tools/rates/) | Continental day rates documented for CGO/CRO roles8.,gemini-discovery
